group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
west_bottleneck,36e8623f4e0a,E10 -> -E11 -> E16 -> E15 -> E4,E10,E4,5,334,145.062874251497,408.79041916167665,-263.72754491017963,263.72754491017963,290.8345672525569,238.0,440.0,479.0,586.0,334,0,0,0,35,0,0,west_bottleneck_veh_000594,116.0,702.0,-586.0,70000.0,79990.0,J17,1.0
oversat_all,bc9c2e0fd984,E18 -> E11 -> -E12 -> -E14,E18,-E14,4,334,341.3862275449102,578.8652694610779,-237.47904191616766,252.79041916167665,452.6035329997241,71.0,886.0,1143.0,1621.0,239,94,30,0,61,0,28,oversat_all_veh_000733,201.0,1822.0,-1621.0,58000.0,67990.0,J17;J21,1.0
oversat_all,e6c16ff10116,-E4 -> -E0 -> E2,-E4,E2,3,334,74.89820359281437,310.5988023952096,-235.7005988023952,235.7005988023952,347.31021181867504,187.0,540.0,996.0,1158.0,334,0,22,0,33,0,16,oversat_all_veh_004248,104.0,1262.0,-1158.0,58000.0,67990.0,J22,1.0
oversat_all,11815a0a0294,E10 -> -E11 -> -E17,E10,-E17,3,334,92.88922155688623,316.2065868263473,-223.31736526946108,223.31736526946108,258.46516113580583,211.0,410.0,463.0,554.0,334,0,0,0,3,0,0,oversat_all_veh_007593,93.0,647.0,-554.0,58000.0,67990.0,J17,1.0
southwest_bottleneck,209c0f416794,E17 -> E11 -> -E12 -> E13 -> E5,E17,E5,5,334,176.0868263473054,385.65269461077844,-209.56586826347305,209.56586826347305,216.55052237876262,213.0,269.0,304.0,339.0,334,0,0,0,0,0,0,southwest_bottleneck_veh_001944,147.0,486.0,-339.0,118000.0,127990.0,J17;J21;J22,1.0
southwest_bottleneck,3b4ce934fe24,E17 -> E11 -> -E12 -> -E14,E17,-E14,4,334,168.0868263473054,373.97305389221555,-205.88622754491018,205.88622754491018,212.92375852898095,213.5,255.0,296.0,334.0,334,0,0,0,0,0,0,southwest_bottleneck_veh_000695,139.0,473.0,-334.0,118000.0,127990.0,J17;J21,1.0
ALL,209c0f416794,E17 -> E11 -> -E12 -> E13 -> E5,E17,E5,5,1097,200.8359161349134,401.9270738377393,-201.09115770282588,201.09115770282588,300.87934480057083,184.0,544.0,715.0,1059.0,1097,0,76,0,159,0,5,oversat_all_veh_004264,239.0,1298.0,-1059.0,0.0,127990.0,J17;J21;J22,1.0
ALL,11c3be71c875,-E19 -> -E16 -> -E17,-E19,-E17,3,1097,75.25797629899726,266.18231540565176,-190.92433910665451,191.9270738377393,400.3679938979019,5.0,712.0,1042.0,1686.0,746,286,94,0,173,0,60,oversat_all_veh_006385,47.0,1733.0,-1686.0,0.0,115990.0,,0.0
southwest_bottleneck,8522097d81df,E17 -> E11 -> -E10,E17,-E10,3,334,106.08682634730539,294.7544910179641,-188.6676646706587,188.6676646706587,195.62582669948333,191.5,246.0,249.0,295.0,334,0,0,0,0,0,0,southwest_bottleneck_veh_001693,106.0,401.0,-295.0,118000.0,127990.0,J17,1.0
ALL,3b4ce934fe24,E17 -> E11 -> -E12 -> -E14,E17,-E14,4,1097,172.359161349134,360.0173199635369,-187.6581586144029,187.6581586144029,275.4058760012344,185.0,488.0,616.0,958.0,1096,0,32,0,135,0,0,oversat_all_veh_004263,140.0,1098.0,-958.0,0.0,127990.0,J17;J21,1.0
ALL,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,1223,301.5560098119379,141.46688470973018,160.08912510220767,187.13082583810302,477.6266250619946,14.0,332.0,1632.0,1743.0,858,365,0,109,0,117,102,oversat_all_veh_002590,1851.0,108.0,1743.0,0.0,79990.0,J17;J21;J22,1.0
ALL,4130f8916f02,E18 -> E11 -> -E12 -> E13 -> E5,E18,E5,5,1097,236.67912488605288,408.93983591613494,-172.26071103008204,185.77757520510482,319.59307536226083,93.0,370.0,699.0,1676.0,980,117,34,0,69,0,31,oversat_all_veh_003112,502.0,2178.0,-1676.0,0.0,127990.0,J17;J21;J22,1.0
ALL,529f6a3ed00c,E9 -> -E12 -> E20 -> E15 -> -E0 -> E5,E9,E5,6,1223,140.11447260834015,324.12019623875716,-184.005723630417,184.005723630417,403.83397756885716,96.0,371.0,892.0,2633.0,1223,0,68,0,85,0,54,oversat_all_veh_001641,112.0,2745.0,-2633.0,0.0,79990.0,J17;J21;J22,1.0
ALL,a9fb59fe185d,-E2 -> -E13 -> -E14,-E2,-E14,3,1223,59.919869174161896,241.37367130008175,-181.45380212591988,181.45380212591988,411.5523292433683,85.0,641.0,1068.0,2751.0,1222,0,97,0,130,0,70,oversat_all_veh_001285,37.0,2788.0,-2751.0,0.0,91990.0,J21;J22,1.0
oversat_all,1a4078e69256,E14 -> E12 -> -E9,E14,-E9,3,334,90.90718562874251,271.65868263473055,-180.75149700598803,180.75149700598803,279.8639800070549,98.5,461.0,560.0,1185.0,334,0,6,0,25,0,3,oversat_all_veh_003782,91.0,1276.0,-1185.0,58000.0,67990.0,J17;J21,1.0
ALL,bb0c3598f044,-E19 -> E15 -> E4,-E19,E4,3,1097,256.55241567912486,87.6052871467639,168.94712853236098,176.9690063810392,366.80052651736804,7.0,865.0,896.0,988.0,653,437,0,169,0,197,0,oversat_all_veh_009338,1043.0,55.0,988.0,0.0,115990.0,,0.0
ALL,0fc76bc3c2fc,-E2 -> -E13 -> E20 -> E19,-E2,E19,4,1223,150.9067865903516,326.9198691741619,-176.0130825838103,176.0147179067866,397.83533041027067,91.0,557.0,1028.0,2792.0,1222,1,99,0,132,0,67,oversat_all_veh_001329,181.0,2973.0,-2792.0,0.0,91990.0,J21;J22,1.0
ALL,5706b7fad304,E10 -> -E11 -> E16 -> E19,E10,E19,4,1223,134.43254292722813,307.9877350776778,-173.55519215044973,173.556827473426,254.6336858744566,122.0,448.0,507.0,758.0,1222,1,0,0,123,0,0,oversat_all_veh_007509,107.0,865.0,-758.0,0.0,79990.0,J17,1.0
southwest_bottleneck,18927aaae3eb,E18 -> E11 -> -E9,E18,-E9,3,334,102.90718562874251,276.36526946107784,-173.45808383233532,173.45808383233532,185.59647329139526,186.0,249.0,254.0,333.0,334,0,0,0,0,0,0,southwest_bottleneck_veh_000457,74.0,407.0,-333.0,118000.0,127990.0,J17,1.0
oversat_all,18927aaae3eb,E18 -> E11 -> -E9,E18,-E9,3,334,276.4191616766467,401.122754491018,-124.70359281437126,173.40419161676647,322.00434686692915,59.0,694.0,881.0,1233.0,151,183,11,0,45,0,3,oversat_all_veh_003273,351.0,1584.0,-1233.0,58000.0,67990.0,J17,1.0
ALL,bc9c2e0fd984,E18 -> E11 -> -E12 -> -E14,E18,-E14,4,1097,206.27438468550594,369.5360072926162,-163.2616226071103,168.07474931631722,298.9288077243667,65.0,358.0,614.0,1621.0,998,97,30,0,62,0,28,oversat_all_veh_000733,201.0,1822.0,-1621.0,0.0,127990.0,J17;J21,1.0
west_bottleneck,11815a0a0294,E10 -> -E11 -> -E17,E10,-E17,3,334,90.08682634730539,252.91616766467067,-162.82934131736528,162.82934131736528,183.46285662356576,147.0,288.0,321.0,507.0,334,0,0,0,0,0,0,west_bottleneck_veh_000593,61.0,568.0,-507.0,70000.0,79990.0,J17,1.0
ALL,36e8623f4e0a,E10 -> -E11 -> E16 -> E15 -> E4,E10,E4,5,1223,172.5870809484873,313.74080130825837,-141.15372035977106,151.1373671300082,222.5187470856757,89.0,407.0,459.0,730.0,989,200,1,0,138,0,0,oversat_all_veh_003904,228.0,958.0,-730.0,0.0,79990.0,J17,1.0
ALL,8522097d81df,E17 -> E11 -> -E10,E17,-E10,3,1097,111.83773928896991,261.3564266180492,-149.5186873290793,149.71558796718324,216.06391910184385,142.0,362.0,480.0,913.0,1032,16,1,0,40,0,0,oversat_all_veh_002580,135.0,1048.0,-913.0,0.0,127990.0,J17,1.0
ALL,9ad069c9b349,E9 -> -E12 -> E13 -> E5,E9,E5,4,1223,112.82829108748977,259.3426001635323,-146.5143090760425,146.53556827473426,287.3895237275078,81.0,340.0,741.0,1900.0,1222,1,64,0,87,0,21,oversat_all_veh_001970,183.0,2083.0,-1900.0,0.0,79990.0,J17;J21;J22,1.0
west_bottleneck,d91d5067468b,E9 -> -E11 -> E16 -> E15 -> E4,E9,E4,5,334,89.94610778443113,226.7305389221557,-136.78443113772454,136.78443113772454,153.6082972434625,97.0,267.0,272.0,372.0,333,0,0,0,0,0,0,west_bottleneck_veh_001065,61.0,433.0,-372.0,70000.0,79990.0,J17,1.0
ALL,e3621f02f2a0,-E5 -> -E13 -> -E14,-E5,-E14,3,1223,91.12019623875716,224.35159443990187,-133.2313982011447,133.25756336876532,298.0173075801713,11.0,452.0,790.0,1513.0,1204,13,58,0,95,0,31,oversat_all_veh_002847,64.0,1577.0,-1513.0,0.0,103990.0,J21;J22,1.0
west_bottleneck,529f6a3ed00c,E9 -> -E12 -> E20 -> E15 -> -E0 -> E5,E9,E5,6,334,140.9011976047904,268.8832335329341,-127.98203592814372,127.98203592814372,133.90482812061697,130.0,184.0,208.0,219.0,334,0,0,0,0,0,0,west_bottleneck_veh_002323,112.0,331.0,-219.0,70000.0,79990.0,J17;J21;J22,1.0
ALL,09ec625f32b1,E9 -> -E12 -> -E14,E9,-E14,3,1223,56.82583810302535,184.32542927228127,-127.49959116925592,127.49959116925592,248.89210605780656,53.0,348.0,587.0,1701.0,1221,0,24,0,74,0,12,oversat_all_veh_001972,86.0,1787.0,-1701.0,0.0,79990.0,J17;J21,1.0
north_bottleneck,a9fb59fe185d,-E2 -> -E13 -> -E14,-E2,-E14,3,334,57.07185628742515,179.46706586826346,-122.39520958083833,122.39520958083833,126.05936725153069,122.0,153.0,158.0,226.0,334,0,0,0,0,0,0,north_bottleneck_veh_002637,28.0,254.0,-226.0,82000.0,91990.0,J21;J22,1.0
oversat_all,6ee37cdd0209,E9 -> -E11 -> -E18,E9,-E18,3,334,66.64670658682634,187.24550898203591,-120.59880239520957,120.59880239520957,136.55474215416476,99.0,188.0,196.0,281.0,334,0,0,0,0,0,0,oversat_all_veh_002055,89.0,370.0,-281.0,58000.0,67990.0,J17,1.0
north_bottleneck,0fc76bc3c2fc,-E2 -> -E13 -> E20 -> E19,-E2,E19,4,334,149.0868263473054,267.6706586826347,-118.58383233532935,118.58383233532935,122.39847314221248,122.5,155.0,159.0,168.0,334,0,0,0,0,0,0,north_bottleneck_veh_002520,120.0,288.0,-168.0,82000.0,91990.0,J21;J22,1.0
ALL,a8e523103c04,-E3 -> -E0 -> -E13 -> -E14,-E3,-E14,4,1097,140.3701002734731,257.96080218778485,-117.59070191431177,117.6472196900638,335.0342463345431,7.0,211.0,842.0,1981.0,1074,21,58,0,96,0,37,oversat_all_veh_003514,120.0,2101.0,-1981.0,0.0,115990.0,J21;J22,1.0
north_bottleneck,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,-E2,-E17,5,334,150.0868263473054,267.21556886227546,-117.12874251497006,117.12874251497006,121.30918828216042,118.0,153.0,155.0,242.0,334,0,0,0,0,0,0,north_bottleneck_veh_000047,121.0,363.0,-242.0,82000.0,91990.0,J17;J21;J22,1.0
ALL,91530330da2b,-E4 -> -E0 -> -E13 -> -E14,-E4,-E14,4,1097,172.31814038286234,289.2680036463081,-116.94986326344576,116.97174111212398,287.60483879780054,6.0,367.0,678.0,1460.0,1080,7,54,0,80,0,46,oversat_all_veh_003467,149.0,1609.0,-1460.0,0.0,103990.0,J21;J22,1.0
west_bottleneck,9ad069c9b349,E9 -> -E12 -> E13 -> E5,E9,E5,4,334,101.03293413173652,217.3443113772455,-116.31137724550898,116.38922155688623,125.6874986042336,112.0,185.0,209.0,219.0,333,1,0,0,0,0,0,west_bottleneck_veh_001892,61.0,280.0,-219.0,70000.0,79990.0,J17;J21;J22,1.0
ALL,11815a0a0294,E10 -> -E11 -> -E17,E10,-E17,3,1223,89.8119378577269,198.46443172526574,-108.65249386753884,108.65249386753884,165.79221349015657,68.0,294.0,363.0,554.0,1223,0,0,0,3,0,0,oversat_all_veh_007593,93.0,647.0,-554.0,0.0,79990.0,J17,1.0
ALL,18927aaae3eb,E18 -> E11 -> -E9,E18,-E9,3,1097,160.04375569735643,253.20510483135826,-93.16134913400182,108.1330902461258,205.19849207191328,24.0,246.0,427.0,1233.0,913,184,11,0,45,0,3,oversat_all_veh_003273,351.0,1584.0,-1233.0,0.0,127990.0,J17,1.0
west_bottleneck,6ee37cdd0209,E9 -> -E11 -> -E18,E9,-E18,3,334,65.24550898203593,171.27245508982037,-106.02694610778443,106.02694610778443,120.63076488659826,94.0,181.0,186.0,357.0,334,0,0,0,0,0,0,west_bottleneck_veh_001112,39.0,396.0,-357.0,70000.0,79990.0,J17,1.0
