group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
ALL,31574ce50048,E14 -> E13 -> E0 -> E4,E14,E4,4,1223,121.65412919051512,136.35241210139003,-14.698282910874898,14.817661488143909,35.00991566118711,5.0,82.0,84.0,262.0,1217,1,0,0,0,0,0,oversat_all_veh_005794,99.0,361.0,-262.0,0.0,91990.0,J21;J22,1.0
ALL,cfc82f1bba5a,E14 -> E13 -> E5,E14,E5,3,1223,112.80376124284547,123.21831561733443,-10.414554374488961,10.414554374488961,25.192715919581644,6.0,10.0,11.0,203.0,1223,0,0,0,0,0,0,oversat_all_veh_013541,89.0,292.0,-203.0,0.0,91990.0,J21;J22,1.0
ALL,3f8e372d6db5,E14 -> E20 -> E19,E14,E19,3,1223,97.11201962387571,105.50449713818479,-8.392477514309077,10.289452166802944,21.761999631560123,8.0,12.0,13.0,271.0,1156,40,0,0,0,0,0,oversat_all_veh_005793,68.0,339.0,-271.0,0.0,91990.0,J21,1.0
ALL,a916eb9fd928,-E5 -> E0 -> E3,-E5,E3,3,1223,89.38838920686835,95.72853638593622,-6.340147179067866,6.340147179067866,7.905616579860662,6.0,8.0,9.0,98.0,1223,0,0,0,0,0,0,oversat_all_veh_013549,62.0,160.0,-98.0,0.0,103990.0,J22,1.0
ALL,098e35e118ee,-E4 -> E3,-E4,E3,2,1097,48.315405651777574,53.84958979033728,-5.534184138559708,5.665451230628988,7.433754840595837,5.0,7.0,8.0,87.0,1096,1,0,0,0,0,0,free_all_veh_000145,20.0,107.0,-87.0,0.0,103990.0,,0.0
ALL,250f0d385d96,-E3 -> E4,-E3,E4,2,1097,40.15587967183227,44.84503190519599,-4.6891522333637194,4.804010938924339,6.076540060482981,4.0,7.0,8.0,74.0,1096,1,0,0,0,0,0,light_all_seed2_veh_003060,20.0,94.0,-74.0,0.0,115990.0,,0.0
ALL,6caaaa0b7492,-E2 -> E0 -> E4,-E2,E4,3,1223,95.56173344235486,95.39983646770237,0.16189697465249386,1.9901880621422732,6.0099399811702785,1.0,3.0,4.0,90.0,313,723,0,0,0,0,0,oversat_all_veh_013586,67.0,157.0,-90.0,0.0,91990.0,J22,1.0
east_bottleneck,e3621f02f2a0,-E5 -> -E13 -> -E14,-E5,-E14,3,334,84.88023952095809,102.54790419161677,-17.667664670658684,17.667664670658684,28.847679677133325,11.0,16.0,98.0,105.0,334,0,0,0,0,0,0,east_bottleneck_veh_001369,56.0,161.0,-105.0,94000.0,103990.0,J21;J22,1.0
east_bottleneck,a916eb9fd928,-E5 -> E0 -> E3,-E5,E3,3,334,90.90718562874251,97.5688622754491,-6.661676646706587,6.661676646706587,6.817773531596933,7.0,8.0,9.0,12.0,334,0,0,0,0,0,0,east_bottleneck_veh_001106,62.0,74.0,-12.0,94000.0,103990.0,J22,1.0
east_bottleneck,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,334,72.90718562874251,79.50299401197604,-6.595808383233533,6.595808383233533,6.775042258524327,6.0,9.0,9.0,12.0,334,0,0,0,0,0,0,east_bottleneck_veh_000119,73.0,85.0,-12.0,94000.0,103990.0,,0.0
